traj_name,length,total_rewards,mean_rewards,final_reward,max_heights,final_heights,REST_state,APPROACH_ABOVE_OBJECT_state,APPROACH_OBJECT_state,GRASP_OBJECT_state,LIFT_OBJECT_state
lift_n_1_success_ep169,207,47.63031302951276,0.23009813057735634,0.5775752663612366,0.03371245786547661,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep171,206,46.995989956427366,0.22813587357489012,0.5174471735954285,0.03185759112238884,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep173,147,4.8951969225890934,0.03330065933734077,0.701318085193634,0.03449533134698868,0.014999999664723873,26,36,36,41,8
lift_n_1_success_ep175,258,84.92664853669703,0.32917305634378696,0.6345654129981995,0.03437002748250961,0.014999999664723873,26,36,36,41,119
lift_n_1_success_ep178,310,123.02402841346338,0.3968517045595593,0.6487732529640198,0.03463876247406006,0.014999999664723873,26,36,36,41,171
lift_n_1_success_ep182,156,10.41846025455743,0.0667850016317784,0.582675039768219,0.0343543104827404,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep184,257,84.06150346435606,0.32708756211811696,0.5549763441085815,0.033699072897434235,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep188,144,2.1988888890482485,0.015270061729501726,0.48068922758102417,0.02418484538793564,0.014999999664723873,26,36,36,41,5
lift_n_1_success_ep190,156,9.742011494003236,0.06244879162822587,0.6081921458244324,0.033732883632183075,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep193,206,46.872612685896456,0.22753695478590513,0.5721563100814819,0.03321244195103645,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep196,206,47.50418951874599,0.2306028617414854,0.5318359136581421,0.03246472030878067,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep198,206,46.53069884190336,0.22587717884419106,0.5449020266532898,0.032248567789793015,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep200,360,159.71548046614043,0.44365411240594566,0.576356053352356,0.03472842276096344,0.014999999664723873,26,36,36,41,221
lift_n_1_success_ep202,308,120.54115195851773,0.3913673764886939,0.531438410282135,0.03490065783262253,0.014999999664723873,26,36,36,41,169
lift_n_1_success_ep207,360,158.97579600661993,0.441599433351722,0.5924052596092224,0.03469126299023628,0.014999999664723873,26,36,36,41,221
lift_n_1_success_ep209,156,10.372689120238647,0.06649159692460671,0.6399854421615601,0.03386147692799568,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep211,156,10.406872003572062,0.06671071797161578,0.5772128701210022,0.03434745594859123,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep214,257,83.96749084815383,0.3267217542729721,0.5629698634147644,0.031957704573869705,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep216,208,47.70175157347694,0.2293353441032545,0.6601769924163818,0.03478598967194557,0.014999999664723873,26,36,36,41,69
lift_n_1_success_ep222,208,48.18684065435082,0.2316675031459174,0.5824989080429077,0.03438335657119751,0.014999999664723873,26,36,36,41,69
lift_n_1_success_ep224,207,47.82163629657589,0.23102239756799947,0.5726897716522217,0.034710612148046494,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep230,155,9.95540995337069,0.06422845131206897,0.5769969820976257,0.03305409103631973,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep232,309,122.09940942330286,0.3951437198165141,0.5808309316635132,0.03379695862531662,0.014999999664723873,26,36,36,41,170
lift_n_1_success_ep235,207,47.56527969241142,0.22978395986672184,0.5991411209106445,0.034861691296100616,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep237,207,47.16086484445259,0.22783026494904632,0.5775061845779419,0.03326738253235817,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep239,155,9.629166479688138,0.062123654707665406,0.5162429213523865,0.03157328441739082,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep242,206,46.9221706087701,0.22777752722703934,0.561411440372467,0.03224271163344383,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep248,155,10.000189058016986,0.0645173487613999,0.574405312538147,0.03139907866716385,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep250,155,10.000973510555923,0.06452240974552208,0.5941181182861328,0.032694242894649506,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep252,359,158.1092323823832,0.4404156890874184,0.5180943012237549,0.03275153413414955,0.014999999664723873,26,36,36,41,220
lift_n_1_success_ep254,257,83.36109939427115,0.32436225445241695,0.5078639388084412,0.03256337344646454,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep256,156,10.828746436862275,0.06941504126193766,0.5745330452919006,0.034800317138433456,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep260,157,11.261242287699133,0.07172765788343397,0.601584255695343,0.03459744527935982,0.014999999664723873,26,36,36,41,18
lift_n_1_success_ep262,206,47.53351205820218,0.23074520416602998,0.5382565259933472,0.0324278324842453,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep264,155,9.54002527310513,0.06154855014906535,0.5377438068389893,0.032124508172273636,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep266,258,85.00914884591475,0.3294928249841657,0.610479474067688,0.03396155685186386,0.014999999664723873,26,36,36,41,119
lift_n_1_success_ep268,206,47.09458454628475,0.22861448808876092,0.5466685891151428,0.03263923525810242,0.014999999664723873,26,36,36,41,67
