traj_name,length,total_rewards,mean_rewards,final_reward,max_heights,final_heights,REST_state,APPROACH_ABOVE_OBJECT_state,APPROACH_OBJECT_state,GRASP_OBJECT_state,LIFT_OBJECT_state
lift_n_1_success_ep3,206,48.40966504113749,0.2349983739861043,0.6313834190368652,0.03375697508454323,0.03375697508454323,26,36,36,41,67
lift_n_1_success_ep9,155,10.9070955789648,0.07036835857396645,0.6209557056427002,0.03352712094783783,0.03352712094783783,26,36,36,41,16
lift_n_1_success_ep11,308,122.38066454138607,0.39733981993956513,0.5926649570465088,0.03376420587301254,0.03376420587301254,26,36,36,41,169
lift_n_1_success_ep13,256,84.80985637195408,0.33128850145294564,0.564891517162323,0.03227788209915161,0.03227788209915161,26,36,36,41,117
lift_n_1_success_ep16,155,10.658585270866752,0.06876506626365646,0.6123254299163818,0.03407573327422142,0.03407573327422142,26,36,36,41,16
lift_n_1_success_ep19,256,84.8271361598745,0.33135600062450976,0.5930803418159485,0.03416859731078148,0.03177323564887047,26,36,36,41,117
lift_n_1_success_ep21,155,10.73264270555228,0.06924285616485341,0.6318235993385315,0.033572155982255936,0.033572155982255936,26,36,36,41,16
lift_n_1_success_ep25,155,10.94412031257525,0.07060722782306614,0.5928821563720703,0.03356451913714409,0.03356451913714409,26,36,36,41,16
lift_n_1_success_ep29,154,9.989116093609482,0.06486439021824339,0.5433720946311951,0.03301307186484337,0.03301307186484337,26,36,36,41,15
lift_n_1_success_ep33,256,85.25067880190909,0.3330104640699574,0.5635051131248474,0.03192674368619919,0.03192674368619919,26,36,36,41,117
lift_n_1_success_ep35,206,48.109952482394874,0.2335434586524023,0.5941101312637329,0.0348360612988472,0.03322729840874672,26,36,36,41,67
lift_n_1_success_ep39,154,10.137725447770208,0.06582938602448186,0.5533243417739868,0.03409435600042343,0.03194081410765648,26,36,36,41,15
lift_n_1_success_ep41,155,10.532064082100987,0.06794880052968379,0.6325414180755615,0.034051913768053055,0.034051913768053055,26,36,36,41,16
lift_n_1_success_ep43,154,9.872271085623652,0.06410565640015359,0.5412172675132751,0.03314080461859703,0.03314080461859703,26,36,36,41,15
lift_n_1_success_ep45,256,84.5263915155083,0.3301812168574543,0.577203094959259,0.03417153283953667,0.0315660797059536,26,36,36,41,117
lift_n_1_success_ep47,155,10.673724345397204,0.06886273771224002,0.579876720905304,0.0347544327378273,0.0347544327378273,26,36,36,41,16
lift_n_1_success_ep49,154,9.865238815546036,0.06405999230874049,0.5899665355682373,0.033053506165742874,0.033053506165742874,26,36,36,41,15
lift_n_1_success_ep52,206,47.026861273217946,0.22828573433600946,0.5640658140182495,0.03440538048744202,0.033238597214221954,26,36,36,41,67
lift_n_1_success_ep54,205,46.00063373055309,0.22439333527099067,0.5490128397941589,0.03200845792889595,0.0317419208586216,26,36,36,41,66
lift_n_1_success_ep56,205,46.12685199105181,0.22500903410269174,0.5349072813987732,0.03315650299191475,0.03244426101446152,26,36,36,41,66
lift_n_1_success_ep61,205,45.97499593021348,0.22426827283030967,0.5657680630683899,0.03432628884911537,0.0315709188580513,26,36,36,41,66
lift_n_1_success_ep63,145,3.428713417844847,0.023646299433412735,0.5858729481697083,0.033797621726989746,0.033797621726989746,26,36,36,41,6
lift_n_1_success_ep65,206,47.018836247501895,0.22824677790049464,0.5798798203468323,0.03472812473773956,0.03472812473773956,26,36,36,41,67
lift_n_1_success_ep67,360,158.35406472394243,0.4398724020109512,0.6454923152923584,0.03467912971973419,0.03467912971973419,26,36,36,41,221
lift_n_1_success_ep70,154,8.623401025310159,0.05599611055396207,0.5856496691703796,0.03181428462266922,0.03181428462266922,26,36,36,41,15
lift_n_1_success_ep72,256,83.75663933344185,0.32717437239625724,0.5431943535804749,0.03255770727992058,0.03174947202205658,26,36,36,41,117
lift_n_1_success_ep74,155,9.83710163203068,0.06346517181955277,0.5898482799530029,0.03414006158709526,0.03414006158709526,26,36,36,41,16
lift_n_1_success_ep77,155,10.329717140179127,0.06664333638825244,0.6061926484107971,0.033462632447481155,0.033462632447481155,26,36,36,41,16
lift_n_1_success_ep79,154,8.99328003404662,0.05839792229900403,0.579386830329895,0.031730081886053085,0.031730081886053085,26,36,36,41,15
lift_n_1_success_ep81,154,10.240186004899442,0.06649471431752885,0.5473281145095825,0.032390955835580826,0.032390955835580826,26,36,36,41,15
lift_n_1_success_ep83,144,2.4774744857568294,0.01720468392886687,0.5594968795776367,0.0305817648768425,0.0305817648768425,26,36,36,41,5
lift_n_1_success_ep85,144,2.6940445678774267,0.01870864283248213,0.5419523119926453,0.030733847990632057,0.030733847990632057,26,36,36,41,5
lift_n_1_success_ep88,154,9.549546027556062,0.062010039139974424,0.5017845630645752,0.03221073001623154,0.03221073001623154,26,36,36,41,15
lift_n_1_success_ep91,145,2.8180321138352156,0.019434704233346315,0.598042905330658,0.03303784504532814,0.03303784504532814,26,36,36,41,6
lift_n_1_success_ep95,156,10.370530575979501,0.0664777601024327,0.5859487056732178,0.03493954613804817,0.03493954613804817,26,36,36,41,17
lift_n_1_success_ep97,154,9.199320911662653,0.05973585007573151,0.5732297301292419,0.03251229599118233,0.03251229599118233,26,36,36,41,15
lift_n_1_success_ep100,205,46.52731294883415,0.2269625021894349,0.5645634531974792,0.03213312476873398,0.03145658224821091,26,36,36,41,66
lift_n_1_success_ep103,154,9.57437808951363,0.06217128629554305,0.5556180477142334,0.031894657760858536,0.03183409199118614,26,36,36,41,15
lift_n_1_success_ep105,154,8.873866054229438,0.0576225068456457,0.5822293758392334,0.03140096738934517,0.03140096738934517,26,36,36,41,15
lift_n_1_success_ep109,154,8.697633955162019,0.056478142565987134,0.5440743565559387,0.03117203339934349,0.03117203339934349,26,36,36,41,15
lift_n_1_success_ep115,154,9.229574060067534,0.059932299091347625,0.6185678839683533,0.03379884734749794,0.03184010833501816,26,36,36,41,15
lift_n_1_success_ep117,257,83.89902134332806,0.32645533596625703,0.6047187447547913,0.0349564291536808,0.0349564291536808,26,36,36,41,118
lift_n_1_success_ep119,154,9.523118349025026,0.061838430837824844,0.5618810057640076,0.03156474605202675,0.03156474605202675,26,36,36,41,15
lift_n_1_success_ep122,154,9.53179989848286,0.06189480453560298,0.5585681200027466,0.031637806445360184,0.031637806445360184,26,36,36,41,15
lift_n_1_success_ep125,258,84.7629990298301,0.32853875592957404,0.6373900175094604,0.034516043961048126,0.034516043961048126,26,36,36,41,119
lift_n_1_success_ep129,144,2.5703064827248454,0.017849350574478094,0.5615811944007874,0.031193172559142113,0.031193172559142113,26,36,36,41,5
lift_n_1_success_ep131,154,8.983615733217448,0.058335167098814596,0.5453996658325195,0.03183998912572861,0.03183998912572861,26,36,36,41,15
lift_n_1_success_ep134,154,9.116251085419208,0.05919643561960525,0.5754221081733704,0.03300391882658005,0.031793855130672455,26,36,36,41,15
lift_n_1_success_ep136,154,9.225257654907182,0.05990427048641027,0.5664564967155457,0.03482860326766968,0.03222626447677612,26,36,36,41,15
lift_n_1_success_ep138,205,45.55668403278105,0.22222772698917584,0.5287558436393738,0.03396232798695564,0.03187725692987442,26,36,36,41,66
lift_n_1_success_ep142,154,9.59619530569762,0.062312956530504025,0.5688109397888184,0.03446274250745773,0.032404009252786636,26,36,36,41,15
lift_n_1_success_ep144,155,10.089999204967171,0.06509676906430432,0.6146087050437927,0.03463603928685188,0.03463603928685188,26,36,36,41,16
lift_n_1_success_ep147,256,84.12109802151099,0.3285980391465273,0.5711501836776733,0.031599391251802444,0.031599391251802444,26,36,36,41,117
lift_n_1_success_ep149,154,9.161541823996231,0.05949053132465085,0.519736111164093,0.031526315957307816,0.031526315957307816,26,36,36,41,15
lift_n_1_success_ep151,145,3.4577408919576555,0.023846488910052796,0.6121060848236084,0.032874979078769684,0.032874979078769684,26,36,36,41,6
lift_n_1_success_ep153,156,10.68653030693531,0.06850339940343148,0.6431958079338074,0.034723132848739624,0.034723132848739624,26,36,36,41,17
lift_n_1_success_ep155,154,9.407520333770663,0.061087794375134175,0.5517634749412537,0.03190308436751366,0.03190308436751366,26,36,36,41,15
lift_n_1_success_ep157,257,83.75316845439374,0.325887814997641,0.5894169807434082,0.03346983343362808,0.03346983343362808,26,36,36,41,118
lift_n_1_success_ep159,206,46.75308814411983,0.2269567385636885,0.5801404118537903,0.03456370159983635,0.03357578068971634,26,36,36,41,67
lift_n_1_success_ep161,205,45.6231064083986,0.22255173857755414,0.5471883416175842,0.032606806606054306,0.031692344695329666,26,36,36,41,66
lift_n_1_success_ep163,205,46.32781431265175,0.22598933811049635,0.5524884462356567,0.03345911577343941,0.031836915761232376,26,36,36,41,66
lift_n_1_success_ep165,154,8.766068691853434,0.05692252397307425,0.5573469996452332,0.03283987194299698,0.0326024666428566,26,36,36,41,15
lift_n_1_success_ep167,145,3.436718431301415,0.02370150642276838,0.5955104827880859,0.03364946320652962,0.03364946320652962,26,36,36,41,6
lift_n_1_success_ep169,155,9.904381765052676,0.06389923719388824,0.5906946659088135,0.03483378514647484,0.03483378514647484,26,36,36,41,16
lift_n_1_success_ep172,307,121.06877531856298,0.39436083165655694,0.5243735909461975,0.032702796161174774,0.032019589096307755,26,36,36,41,168
lift_n_1_success_ep174,145,3.0301981752272695,0.020897918449843237,0.6153373718261719,0.03418333828449249,0.03418333828449249,26,36,36,41,6
lift_n_1_success_ep176,155,10.392279264517128,0.0670469629968847,0.5847126245498657,0.034780390560626984,0.034780390560626984,26,36,36,41,16
lift_n_1_success_ep181,307,120.24053502781317,0.3916629805466227,0.5734927654266357,0.03307720646262169,0.03137553483247757,26,36,36,41,168
lift_n_1_success_ep185,154,9.240477652288973,0.06000310163824009,0.5323736071586609,0.034220557659864426,0.032602857798337936,26,36,36,41,15
lift_n_1_success_ep189,154,9.329625698272139,0.06058198505371519,0.5595232844352722,0.03171220421791077,0.03171220421791077,26,36,36,41,15
lift_n_1_success_ep192,206,47.2995566050522,0.2296094980827777,0.5642766952514648,0.033327218145132065,0.0332983136177063,26,36,36,41,67
lift_n_1_success_ep195,205,46.37051079887897,0.22619761365306815,0.5480824708938599,0.03158355876803398,0.03158355876803398,26,36,36,41,66
lift_n_1_success_ep197,205,45.81567915016785,0.22349111780569683,0.5276880860328674,0.03436195105314255,0.032373636960983276,26,36,36,41,66
lift_n_1_success_ep200,156,10.501529673114419,0.06731749790457961,0.5798560976982117,0.0343770869076252,0.0343770869076252,26,36,36,41,17
lift_n_1_success_ep202,206,46.95450133108534,0.2279344724809968,0.5566927790641785,0.03380332514643669,0.03380332514643669,26,36,36,41,67
lift_n_1_success_ep204,207,47.549029452726245,0.2297054562933635,0.6240392923355103,0.03452736884355545,0.03452736884355545,26,36,36,41,68
lift_n_1_success_ep206,256,82.7288387522567,0.32315952637600276,0.5576127767562866,0.0341549888253212,0.03131222724914551,26,36,36,41,117
lift_n_1_success_ep209,154,9.589035281911492,0.062266462869555145,0.5682003498077393,0.03201291710138321,0.03201291710138321,26,36,36,41,15
lift_n_1_success_ep213,154,9.28242418402806,0.060275481714467914,0.5682153701782227,0.031141432002186775,0.031141432002186775,26,36,36,41,15
lift_n_1_success_ep215,256,83.65637446357869,0.32678271274835424,0.538676917552948,0.033639561384916306,0.03236766904592514,26,36,36,41,117
lift_n_1_success_ep217,154,9.004351894836873,0.05846981749894073,0.5744572877883911,0.031258001923561096,0.031258001923561096,26,36,36,41,15
lift_n_1_success_ep219,156,10.224438577191904,0.06554127293071733,0.5580786466598511,0.03487006202340126,0.03487006202340126,26,36,36,41,17
lift_n_1_success_ep221,207,48.05936371907592,0.23217083922258897,0.5895459651947021,0.0349552258849144,0.0349552258849144,26,36,36,41,68
lift_n_1_success_ep224,143,2.5502682863734663,0.01783404396065361,0.45855027437210083,0.03306879848241806,0.03306879848241806,26,36,36,41,4
lift_n_1_success_ep226,154,8.78013163106516,0.05701384176016338,0.5145738124847412,0.03197714686393738,0.03197714686393738,26,36,36,41,15
lift_n_1_success_ep228,205,46.27020975528285,0.22570834026967243,0.5300118923187256,0.0318208783864975,0.0318208783864975,26,36,36,41,66
lift_n_1_success_ep231,154,9.100126213859767,0.059091728661427055,0.5683424472808838,0.03310238942503929,0.03310238942503929,26,36,36,41,15
lift_n_1_success_ep233,206,46.68612799490802,0.22663168929566999,0.5747371315956116,0.03473243862390518,0.03322692587971687,26,36,36,41,67
lift_n_1_success_ep236,206,46.857617046218365,0.22746416041853576,0.5689922571182251,0.033885546028614044,0.033885546028614044,26,36,36,41,67
lift_n_1_success_ep238,206,47.62154053361155,0.231172526862192,0.5669286251068115,0.03456570953130722,0.03456570953130722,26,36,36,41,67
lift_n_1_success_ep240,155,9.596461029024795,0.061912651800159965,0.585064172744751,0.034853942692279816,0.034853942692279816,26,36,36,41,16
lift_n_1_success_ep243,145,2.640418626368046,0.018209783630124453,0.572299063205719,0.03406253829598427,0.03406253829598427,26,36,36,41,6
lift_n_1_success_ep245,154,9.22708403551951,0.059916130100776045,0.5422533750534058,0.03334486484527588,0.03204336017370224,26,36,36,41,15
lift_n_1_success_ep247,256,84.45898923929781,0.32991792671600706,0.5483816862106323,0.03159285709261894,0.03148563206195831,26,36,36,41,117
lift_n_1_success_ep249,154,8.643677380634472,0.05612777519892514,0.5365911722183228,0.03166353702545166,0.03166353702545166,26,36,36,41,15
lift_n_1_success_ep251,156,10.525254934560508,0.06746958291384941,0.6061570048332214,0.03444976359605789,0.03444976359605789,26,36,36,41,17
lift_n_1_success_ep256,205,45.07900434639305,0.21989758217752706,0.5258901715278625,0.03465402126312256,0.031759895384311676,26,36,36,41,66
lift_n_1_success_ep258,154,9.680586162954569,0.0628609491100946,0.5563609600067139,0.031799569725990295,0.031799569725990295,26,36,36,41,15
lift_n_1_success_ep261,154,9.038395093753934,0.058690877232168405,0.5250535607337952,0.03395218029618263,0.03212391585111618,26,36,36,41,15
lift_n_1_success_ep265,256,83.47243541711941,0.3260642008481227,0.5431559681892395,0.03197089955210686,0.0319070927798748,26,36,36,41,117
