Wall time,Step,Value
1783312829.3990989,0,0.13393160700798035
1783312831.0601566,1,0.2611386775970459
1783312832.625238,2,0.3371385335922241
1783312834.2545376,3,0.42599135637283325
1783312835.921536,4,0.5749489068984985
1783312837.767009,5,0.7450397610664368
1783312839.6331823,6,0.8691230416297913
1783312841.6986759,7,1.0492011308670044
1783312843.703426,8,1.3259695768356323
1783312845.7512982,9,1.5545039176940918
1783312847.8125482,10,1.6961578130722046
1783312849.6809096,11,1.9284899234771729
1783312851.527999,12,2.2395026683807373
1783312853.380777,13,2.473583459854126
1783312855.3096638,14,2.6156718730926514
1783312857.2533636,15,2.7891693115234375
1783312859.1388683,16,3.0389244556427
1783312861.035819,17,3.4399468898773193
1783312862.8868825,18,3.5875539779663086
1783312864.740184,19,3.718515396118164
1783312866.6774778,20,3.7435414791107178
1783312868.5803773,21,3.8280677795410156
1783312870.4997368,22,3.7216289043426514
1783312872.4405324,23,3.7692019939422607
1783312874.468867,24,3.692476987838745
1783312876.4115787,25,3.786865472793579
1783312878.4070153,26,4.100910663604736
1783312880.3508148,27,4.275393962860107
1783312882.2584865,28,4.110308647155762
1783312884.1260993,29,4.090151309967041
1783312886.0095594,30,4.067008972167969
1783312887.9318666,31,4.058243274688721
1783312889.8749416,32,4.143189430236816
1783312891.8869255,33,4.372478485107422
1783312893.885267,34,4.109217643737793
1783312895.7755005,35,3.998795747756958
1783312897.6496868,36,4.137400150299072
1783312899.610059,37,4.388462066650391
1783312901.5198812,38,4.387495040893555
1783312903.4236767,39,4.179027080535889
1783312905.340415,40,4.306528091430664
1783312907.2881398,41,4.41803503036499
1783312909.2384748,42,4.347003936767578
1783312911.3183024,43,4.404595375061035
1783312913.2717414,44,4.372767448425293
1783312915.2129073,45,4.283170700073242
1783312917.1839893,46,4.326399803161621
1783312919.1561587,47,4.653958320617676
1783312921.1347523,48,4.517056941986084
1783312923.1221895,49,4.5942912101745605
1783312925.112763,50,4.431547164916992
1783312927.1405618,51,4.55221700668335
1783312929.1560013,52,4.633090019226074
1783312931.2099855,53,4.372992992401123
1783312933.3408968,54,4.740421772003174
1783312935.5367756,55,4.513207912445068
1783312937.6208057,56,4.340389251708984
1783312939.6900325,57,4.559055805206299
1783312941.8065355,58,4.791162967681885
1783312943.874716,59,4.888832092285156
1783312945.9483707,60,4.6263298988342285
1783312948.0353465,61,4.653465747833252
1783312950.1074367,62,4.512868881225586
1783312952.16431,63,4.691617012023926
1783312954.2518823,64,4.788995265960693
1783312956.401844,65,4.9392595291137695
1783312958.5665212,66,4.644937992095947
1783312960.7370334,67,4.561762809753418
1783312962.9170616,68,5.032242774963379
1783312965.0317583,69,4.601633071899414
1783312967.1421773,70,4.534106254577637
1783312969.2076175,71,4.7158284187316895
1783312971.2952602,72,4.775235176086426
1783312973.4029632,73,4.766192436218262
1783312975.5957675,74,4.788203716278076
1783312977.7818305,75,5.131697654724121
1783312979.995566,76,4.538227081298828
1783312982.225033,77,4.329708099365234
1783312984.416357,78,4.591490745544434
1783312986.5363789,79,4.171614170074463
1783312988.73974,80,4.5993146896362305
1783312990.9005728,81,4.241754531860352
1783312993.0867572,82,4.104366302490234
1783312995.2539177,83,4.4589715003967285
1783312997.3825285,84,4.690646171569824
1783312999.494796,85,4.62024450302124
1783313001.6293828,86,4.699095726013184
1783313003.7568433,87,4.871920585632324
1783313005.8927507,88,5.038936138153076
1783313008.0133407,89,5.131898880004883
1783313010.1546698,90,4.833847522735596
1783313012.2784047,91,4.670496940612793
1783313014.3915246,92,5.083789825439453
1783313016.4987292,93,4.975229740142822
1783313018.6048892,94,4.6495256423950195
1783313020.7166595,95,4.995672225952148
1783313022.8288758,96,4.431976795196533
1783313024.9005902,97,4.715362548828125
1783313026.9365988,98,4.570290565490723
1783313029.006306,99,4.65062141418457
1783313031.033612,100,4.99576473236084
1783313033.0652554,101,4.9486165046691895
1783313035.1100411,102,4.817941188812256
1783313037.2022946,103,5.034825325012207
1783313039.4630377,104,4.78756856918335
1783313041.5745227,105,4.637960910797119
1783313043.606257,106,4.7327046394348145
1783313045.6639037,107,4.699362754821777
1783313047.697657,108,4.67976713180542
1783313049.7421176,109,5.06156587600708
1783313051.7834795,110,4.980747699737549
1783313053.8136294,111,5.1047773361206055
1783313055.8511515,112,5.2369384765625
1783313057.8877637,113,5.25882625579834
1783313059.9108112,114,5.314517021179199
1783313061.9339845,115,4.896926403045654
1783313063.9688728,116,4.765423774719238
1783313066.1207829,117,4.973329067230225
1783313068.1933017,118,5.173174858093262
1783313070.2336245,119,5.171642303466797
1783313072.4269247,120,5.179483890533447
1783313074.715836,121,5.289579391479492
1783313076.8581157,122,5.050518989562988
1783313079.147796,123,5.048417568206787
1783313081.3245852,124,4.906752586364746
1783313083.4746532,125,4.940352439880371
1783313085.6661668,126,4.84230375289917
1783313087.7144601,127,4.853902339935303
1783313089.7828534,128,4.823554039001465
1783313091.854321,129,4.973459720611572
1783313093.9025404,130,5.313141822814941
1783313096.0008125,131,5.084786891937256
1783313098.1411319,132,5.00244665145874
1783313100.3010468,133,5.132793426513672
1783313102.5405307,134,5.584253311157227
1783313104.5902135,135,5.260061740875244
1783313106.6224368,136,5.23904275894165
1783313108.6472611,137,5.466169834136963
1783313110.6765754,138,5.427631378173828
1783313112.7156343,139,5.1041579246521
1783313114.8934145,140,5.199074745178223
1783313117.280362,141,5.084540367126465
1783313119.5711706,142,5.38234281539917
1783313121.8121183,143,5.107010841369629
1783313124.016203,144,5.213616371154785
1783313126.1918123,145,4.905922889709473
1783313128.3850658,146,5.003495216369629
1783313130.5394697,147,5.585400581359863
1783313132.7142854,148,5.356515407562256
1783313134.9416752,149,5.547610282897949
1783313137.037532,150,5.36762809753418
1783313139.289087,151,5.177038192749023
1783313141.4936347,152,4.717155933380127
1783313143.5752788,153,5.021374702453613
1783313145.658286,154,5.0268754959106445
1783313147.7853253,155,5.167620658874512
1783313149.8840673,156,5.2369890213012695
1783313152.2223566,157,4.833620548248291
1783313154.4343503,158,5.216309547424316
1783313156.4575102,159,5.308910369873047
1783313158.5114574,160,5.498410224914551
1783313160.5458028,161,5.182363986968994
1783313162.5963242,162,5.2953200340271
1783313164.6565852,163,5.108142375946045
1783313166.6835835,164,5.406373023986816
1783313168.7345722,165,5.458704471588135
1783313170.8671155,166,5.058664321899414
1783313172.9389594,167,5.137252330780029
1783313174.9836898,168,5.220779895782471
1783313177.0523129,169,4.818878173828125
1783313179.1669934,170,4.736257553100586
1783313181.2142334,171,5.2679548263549805
1783313183.2839181,172,5.368400573730469
1783313185.3291004,173,5.66724157333374
1783313187.3444512,174,5.41452693939209
1783313189.4662712,175,5.357669830322266
1783313191.6077478,176,5.176816463470459
1783313193.6600006,177,5.1034135818481445
1783313195.8230217,178,5.4715166091918945
1783313198.0955136,179,5.3937482833862305
1783313200.1678674,180,5.559724807739258
1783313202.2899551,181,5.406265735626221
1783313204.4167762,182,5.238393783569336
1783313206.5734212,183,5.2311906814575195
1783313208.7173345,184,5.25571346282959
1783313210.790773,185,5.170399188995361
1783313212.8604956,186,5.042471408843994
1783313215.0013201,187,5.309139728546143
1783313217.0992055,188,5.423295974731445
1783313219.2544317,189,5.233519077301025
1783313221.4289112,190,5.575008869171143
1783313223.5546486,191,5.422484874725342
1783313225.6618683,192,5.326148986816406
1783313227.719916,193,5.425710201263428
1783313229.788489,194,5.713097095489502
1783313231.9328809,195,5.786964416503906
1783313233.9968257,196,5.546297550201416
1783313236.1383457,197,5.477301120758057
1783313238.2395241,198,5.481419086456299
1783313240.3735344,199,5.283629417419434
1783313242.5005412,200,5.474967002868652
1783313244.619177,201,5.57419490814209
1783313246.7017887,202,5.254205703735352
1783313248.8278167,203,5.441467761993408
1783313250.9346187,204,5.488020896911621
1783313253.0195007,205,5.684043884277344
1783313255.0991,206,5.547555923461914
1783313257.1887503,207,5.478151798248291
1783313259.3139665,208,5.3862433433532715
1783313261.4827514,209,5.155404090881348
1783313263.5397153,210,5.149542808532715
1783313265.620624,211,5.481440544128418
1783313267.786799,212,5.609228610992432
1783313269.9185119,213,5.5542893409729
1783313272.1658468,214,5.178954124450684
1783313274.2886112,215,5.2769246101379395
1783313276.381261,216,5.259220123291016
1783313278.4578493,217,5.5640363693237305
1783313280.582169,218,5.325986862182617
1783313282.7682471,219,5.294705390930176
1783313284.8365295,220,5.341737747192383
1783313286.8556674,221,5.604671001434326
1783313289.0033145,222,5.513455867767334
1783313291.0461009,223,5.506631374359131
1783313293.1857278,224,5.558278560638428
1783313295.2533858,225,5.102396488189697
1783313297.3319001,226,5.408492565155029
1783313299.4712741,227,5.443752288818359
1783313301.5387707,228,5.477965831756592
1783313303.6236365,229,5.655383586883545
1783313305.6472948,230,5.287599563598633
1783313307.6700304,231,5.829539775848389
1783313309.7123988,232,5.745086193084717
1783313311.8748338,233,5.693950653076172
1783313313.9656806,234,5.460363864898682
1783313316.112301,235,5.501741409301758
1783313318.230166,236,5.380066871643066
1783313320.2900052,237,5.264667987823486
1783313322.417244,238,5.3506178855896
1783313324.5157948,239,5.419374942779541
1783313326.5799105,240,5.615456581115723
1783313328.626225,241,5.584020614624023
1783313330.7840137,242,5.462381839752197
1783313332.9639215,243,5.80734920501709
1783313335.1049626,244,5.702375888824463
1783313337.345757,245,5.9768829345703125
1783313339.4091053,246,5.593301773071289
1783313341.4780757,247,5.355534076690674
1783313343.5737789,248,5.512644290924072
1783313345.660792,249,5.319240093231201
1783313347.7156813,250,5.481027603149414
1783313349.8504508,251,5.573294639587402
1783313351.9282007,252,5.607763290405273
1783313353.9887722,253,5.507321834564209
1783313356.090718,254,5.522612571716309
1783313358.20331,255,5.689070224761963
1783313360.3634531,256,5.705367565155029
1783313362.4980762,257,5.360363006591797
1783313364.5809488,258,5.397718906402588
1783313366.654408,259,5.511388301849365
1783313368.908878,260,5.490631103515625
1783313371.0294955,261,5.235175609588623
1783313373.201308,262,5.6612138748168945
1783313375.3837714,263,5.329256534576416
1783313377.6230624,264,5.486128807067871
1783313379.765244,265,5.1037726402282715
1783313381.8883867,266,5.208745002746582
1783313383.9827938,267,5.505328178405762
1783313386.1000423,268,5.2922186851501465
1783313388.2823472,269,5.064953327178955
1783313390.4623678,270,5.554204940795898
1783313392.6157823,271,5.247904300689697
1783313394.7524674,272,5.483189105987549
1783313396.8300598,273,5.46342134475708
1783313398.9112551,274,5.245749473571777
1783313400.997282,275,5.445465564727783
1783313403.0550532,276,5.462231636047363
1783313405.1256218,277,5.473877906799316
1783313407.1882594,278,5.369574069976807
1783313409.391828,279,5.401566028594971
1783313411.6091907,280,5.268392086029053
1783313413.8451915,281,5.408340930938721
1783313416.1465173,282,5.556742191314697
1783313418.3999484,283,5.2265825271606445
1783313420.680912,284,5.275683403015137
1783313422.9285676,285,5.187427520751953
1783313425.2347898,286,5.41033411026001
1783313427.4599278,287,5.691615104675293
1783313429.7030075,288,5.485107898712158
1783313432.0481467,289,5.267353534698486
1783313434.2744577,290,5.503318786621094
1783313436.517589,291,5.63382625579834
1783313438.741686,292,5.60292911529541
1783313440.991634,293,5.617517948150635
1783313443.2873883,294,5.535084247589111
1783313445.5420148,295,5.433717250823975
1783313447.76944,296,5.614425182342529
1783313449.977711,297,5.216135501861572
1783313452.090994,298,5.761287212371826
1783313454.1969955,299,5.644376277923584
1783313456.3911707,300,5.538012504577637
1783313458.610616,301,5.5560150146484375
1783313460.7808475,302,5.486615180969238
1783313462.9825299,303,5.630113124847412
1783313465.2874646,304,5.511382102966309
1783313467.5524602,305,5.561561107635498
1783313469.7059972,306,5.7420854568481445
1783313471.8091471,307,5.798201560974121
1783313473.940237,308,5.673652648925781
1783313476.268448,309,5.448902130126953
1783313478.551403,310,5.254575729370117
1783313480.8162851,311,5.381444931030273
1783313482.9836087,312,5.2833356857299805
1783313485.179085,313,5.523264408111572
1783313487.4395158,314,5.325662612915039
1783313489.774874,315,5.378957271575928
1783313491.9967175,316,5.247559547424316
1783313494.1270316,317,5.687381267547607
1783313496.2767155,318,5.03364896774292
1783313498.427239,319,4.996232986450195
1783313500.6826813,320,5.766768932342529
1783313502.9993167,321,5.74383020401001
1783313505.2928011,322,5.610470771789551
1783313507.5850463,323,4.964668273925781
1783313509.7922728,324,5.114720344543457
1783313512.0506055,325,5.456106662750244
1783313514.1970408,326,5.4438395500183105
1783313516.3663292,327,5.3965888023376465
1783313518.6304746,328,5.658907890319824
1783313520.79514,329,5.521351337432861
1783313523.0041935,330,5.476705551147461
1783313525.334003,331,5.267108917236328
1783313527.5570114,332,5.291220664978027
1783313529.846828,333,5.57267951965332
1783313532.073942,334,5.35768461227417
1783313534.3011265,335,5.057835578918457
1783313536.5349336,336,5.388784408569336
1783313538.764505,337,5.627022743225098
1783313541.0364788,338,5.388124465942383
1783313543.3089314,339,5.637526988983154
1783313545.5467372,340,5.63828706741333
1783313547.8009214,341,5.4758381843566895
1783313550.0553582,342,5.500715255737305
1783313552.2683885,343,5.660550117492676
1783313554.4562316,344,5.552979469299316
1783313556.6627374,345,5.505456447601318
1783313558.8545513,346,5.488175868988037
1783313561.0634916,347,5.320008277893066
1783313563.258411,348,5.710912704467773
1783313565.4607573,349,5.216320991516113
1783313567.7919612,350,5.2519025802612305
1783313570.1436617,351,5.810938358306885
1783313572.346749,352,5.516143321990967
1783313574.485476,353,5.6991071701049805
1783313576.6441145,354,5.986049652099609
1783313578.790104,355,5.74887752532959
1783313580.9361691,356,5.314184665679932
1783313583.0909355,357,5.622618675231934
1783313585.3189824,358,5.528537273406982
1783313587.6404297,359,5.576672554016113
1783313589.951213,360,5.251391887664795
1783313592.2140646,361,5.342719078063965
1783313594.3854845,362,5.496243953704834
1783313596.6666603,363,5.413859844207764
1783313599.077349,364,5.44851541519165
1783313601.430352,365,5.470364093780518
1783313603.7837844,366,5.294127464294434
1783313606.094333,367,5.450364589691162
1783313608.282358,368,5.275212287902832
1783313610.4721434,369,5.316863536834717
1783313612.655696,370,5.662367820739746
1783313614.8301914,371,5.657654762268066
1783313617.0260546,372,5.789822578430176
1783313619.2087293,373,5.517378330230713
1783313621.3856287,374,5.529687404632568
1783313623.5586042,375,5.686558246612549
1783313625.7432578,376,5.703413486480713
1783313627.9683387,377,5.598310947418213
1783313630.191854,378,5.554391860961914
