traj_name,length,total_rewards,mean_rewards,final_reward,sm_state
lift_n_1_success_ep1,155,10.612406832166016,0.06846714085268397,0.6244693994522095,{}
lift_n_1_success_ep4,154,10.274832273367792,0.06671969008680384,0.5657704472541809,{}
lift_n_1_success_ep6,258,86.21347492421046,0.3341607555201956,0.6665958762168884,{}
lift_n_1_success_ep9,154,9.704810080584139,0.06301824727652038,0.5932716727256775,{}
lift_n_1_success_ep11,257,85.05327807087451,0.33094660727966735,0.5923162698745728,{}
lift_n_1_success_ep13,142,4.1388666070997715,0.029146947937322334,0.47612935304641724,{}
lift_n_1_success_ep19,145,4.173228207044303,0.028780884186512437,0.6097778081893921,{}
lift_n_1_success_ep28,207,48.718466201331466,0.23535490918517615,0.6381330490112305,{}
lift_n_1_success_ep33,154,10.734009346924722,0.06970135939561507,0.5690597891807556,{}
lift_n_1_success_ep35,154,10.043019708245993,0.06521441368990905,0.5760737061500549,{}
lift_n_1_success_ep37,155,10.838991753291339,0.0699289790534925,0.6136123538017273,{}
lift_n_1_success_ep39,154,9.999365205410868,0.06493094289227837,0.5451382994651794,{}
lift_n_1_success_ep41,154,10.254386700224131,0.06658692662483202,0.5679200887680054,{}
lift_n_1_success_ep43,207,48.78346317168325,0.2356689042110302,0.6285630464553833,{}
lift_n_1_success_ep45,358,159.21193750901148,0.44472608242740636,0.6020562648773193,{}
lift_n_1_success_ep47,154,9.905106436926872,0.06431887296705761,0.5537286400794983,{}
lift_n_1_success_ep49,206,47.88105200137943,0.2324322912688322,0.5639119148254395,{}
lift_n_1_success_ep51,257,85.48476389795542,0.33262554045897047,0.6246672868728638,{}
lift_n_1_success_ep53,154,9.9636764167808,0.06469919751156364,0.5795419216156006,{}
lift_n_1_success_ep55,144,2.133702625753358,0.01481737934550943,0.508562445640564,{}
lift_n_1_success_ep57,155,9.625897940946743,0.06210256736094673,0.5757846236228943,{}
lift_n_1_success_ep59,257,83.85780283203349,0.3262949526538268,0.5569749474525452,{}
lift_n_1_success_ep61,256,84.18936582887545,0.32886471026904474,0.5709214806556702,{}
lift_n_1_success_ep63,155,10.060433690436184,0.0649060238092657,0.595561683177948,{}
lift_n_1_success_ep65,154,9.534371705027297,0.06191150457809933,0.5472609996795654,{}
lift_n_1_success_ep67,144,1.7653973943088204,0.012259704127144586,0.5225117206573486,{}
lift_n_1_success_ep71,145,3.4194296314381063,0.023582273320262803,0.563901960849762,{}
lift_n_1_success_ep74,256,83.49190326966345,0.32614024714712286,0.5327505469322205,{}
lift_n_1_success_ep76,154,8.886285778600723,0.057703154406498196,0.5228140950202942,{}
lift_n_1_success_ep78,206,46.616034416947514,0.22629142920848308,0.6152372360229492,{}
lift_n_1_success_ep80,155,9.77337792236358,0.0630540511120231,0.5878450870513916,{}
lift_n_1_success_ep83,154,9.454128060955554,0.061390441954256844,0.570263147354126,{}
lift_n_1_success_ep86,206,47.39505440881476,0.23007307965444057,0.5968314409255981,{}
lift_n_1_success_ep89,155,9.641401193570346,0.06220258834561513,0.5745365619659424,{}
lift_n_1_success_ep91,258,84.34213266405277,0.32690749094594096,0.6529068350791931,{}
lift_n_1_success_ep93,256,82.92068147892132,0.3239089120270364,0.5832626819610596,{}
lift_n_1_success_ep95,256,82.97418833244592,0.3241179231736169,0.5121508240699768,{}
lift_n_1_success_ep97,154,9.24823352159001,0.06005346442590915,0.550915002822876,{}
lift_n_1_success_ep100,205,45.71170819643885,0.22298394242165293,0.5332524180412292,{}
lift_n_1_success_ep102,156,10.665606662631035,0.06836927347840407,0.6412030458450317,{}
lift_n_1_success_ep104,256,82.5638207399752,0.3225149247655281,0.5236682295799255,{}
lift_n_1_success_ep106,155,9.711295998189598,0.06265352256896516,0.5989158153533936,{}
lift_n_1_success_ep108,154,9.312265473650768,0.060469256322407586,0.5734334588050842,{}
lift_n_1_success_ep110,154,9.13492581853643,0.05931770012036643,0.5538842678070068,{}
lift_n_1_success_ep112,256,83.7955892086029,0.3273265203461051,0.5408502221107483,{}
lift_n_1_success_ep114,154,9.451636796817183,0.0613742649143973,0.5494153499603271,{}
lift_n_1_success_ep117,205,46.26767398091033,0.22569597063858698,0.552523136138916,{}
lift_n_1_success_ep119,154,8.977902070153505,0.058298065390607175,0.5518791675567627,{}
lift_n_1_success_ep122,205,45.38714095950127,0.22140068760732326,0.524958610534668,{}
lift_n_1_success_ep125,205,46.52202347945422,0.2269366998997767,0.5712069272994995,{}
